device_id,timestamp,kwh,location
E-001,2025-10-05T18:00:00+00:00,0.862,CLUJ-B
E-001,2025-10-05T19:00:00+00:00,0.96,CLUJ-B
E-001,2025-10-05T20:00:00+00:00,0.893,CLUJ-B
E-001,2025-10-05T21:00:00+00:00,0.666,CLUJ-B
E-001,2025-10-05T22:00:00+00:00,1.129,CLUJ-B
E-001,2025-10-05T23:00:00+00:00,1.05,CLUJ-B
E-001,2025-10-06T00:00:00+00:00,1.058,CLUJ-B
E-001,2025-10-06T01:00:00+00:00,0.718,CLUJ-B
E-001,2025-10-06T02:00:00+00:00,1.181,CLUJ-B
E-001,2025-10-06T03:00:00+00:00,0.62,CLUJ-B
E-001,2025-10-06T04:00:00+00:00,1.017,CLUJ-B
E-001,2025-10-06T05:00:00+00:00,1.338,CLUJ-B
E-001,2025-10-06T06:00:00+00:00,0.702,CLUJ-B
E-001,2025-10-06T07:00:00+00:00,0.787,CLUJ-B
E-001,2025-10-06T08:00:00+00:00,0.92,CLUJ-B
E-001,2025-10-06T09:00:00+00:00,0.799,CLUJ-B
E-001,2025-10-06T10:00:00+00:00,0.59,CLUJ-B
E-001,2025-10-06T11:00:00+00:00,0.914,CLUJ-B
E-001,2025-10-06T12:00:00+00:00,0.688,CLUJ-B
E-001,2025-10-06T13:00:00+00:00,0.995,CLUJ-B
E-001,2025-10-06T14:00:00+00:00,0.716,CLUJ-B
E-001,2025-10-06T15:00:00+00:00,1.21,CLUJ-B
E-001,2025-10-06T16:00:00+00:00,0.743,CLUJ-B
E-001,2025-10-06T17:00:00+00:00,0.836,CLUJ-B
E-001,2025-10-06T18:00:00+00:00,1.063,CLUJ-B
E-001,2025-10-06T19:00:00+00:00,0.654,CLUJ-B
E-001,2025-10-06T20:00:00+00:00,0.945,CLUJ-B
E-001,2025-10-06T21:00:00+00:00,1.161,CLUJ-B
E-001,2025-10-06T22:00:00+00:00,0.579,CLUJ-B
E-001,2025-10-06T23:00:00+00:00,0.937,CLUJ-B
E-001,2025-10-07T00:00:00+00:00,0.952,CLUJ-B
E-001,2025-10-07T01:00:00+00:00,1.056,CLUJ-B
E-001,2025-10-07T02:00:00+00:00,0.653,CLUJ-B
E-001,2025-10-07T03:00:00+00:00,0.636,CLUJ-B
E-001,2025-10-07T04:00:00+00:00,1.004,CLUJ-B
E-001,2025-10-07T05:00:00+00:00,0.959,CLUJ-B
E-001,2025-10-07T06:00:00+00:00,0.95,CLUJ-B
E-001,2025-10-07T07:00:00+00:00,0.969,CLUJ-B
E-001,2025-10-07T08:00:00+00:00,0.764,CLUJ-B
E-001,2025-10-07T09:00:00+00:00,0.946,CLUJ-B
E-001,2025-10-07T10:00:00+00:00,0.959,CLUJ-B
E-001,2025-10-07T11:00:00+00:00,0.757,CLUJ-B
E-001,2025-10-07T12:00:00+00:00,1.273,CLUJ-B
E-001,2025-10-07T13:00:00+00:00,0.995,CLUJ-B
E-001,2025-10-07T14:00:00+00:00,0.662,CLUJ-B
E-001,2025-10-07T15:00:00+00:00,1.031,CLUJ-B
E-001,2025-10-07T16:00:00+00:00,0.705,CLUJ-B
E-001,2025-10-07T17:00:00+00:00,1.057,CLUJ-B
E-001,2025-10-07T18:00:00+00:00,1.132,CLUJ-B
E-001,2025-10-07T19:00:00+00:00,0.736,CLUJ-B
E-001,2025-10-07T20:00:00+00:00,1.093,CLUJ-B
E-001,2025-10-07T21:00:00+00:00,0.983,CLUJ-B
E-001,2025-10-07T22:00:00+00:00,1.064,CLUJ-B
E-001,2025-10-07T23:00:00+00:00,1.279,CLUJ-B
E-001,2025-10-08T00:00:00+00:00,0.851,CLUJ-B
E-001,2025-10-08T01:00:00+00:00,0.749,CLUJ-B
E-001,2025-10-08T02:00:00+00:00,0.722,CLUJ-B
E-001,2025-10-08T03:00:00+00:00,0.737,CLUJ-B
E-001,2025-10-08T04:00:00+00:00,0.885,CLUJ-B
E-001,2025-10-08T05:00:00+00:00,0.968,CLUJ-B
E-001,2025-10-08T06:00:00+00:00,0.955,CLUJ-B
E-001,2025-10-08T07:00:00+00:00,1.065,CLUJ-B
E-001,2025-10-08T08:00:00+00:00,0.903,CLUJ-B
E-001,2025-10-08T09:00:00+00:00,1.191,CLUJ-B
E-001,2025-10-08T10:00:00+00:00,0.847,CLUJ-B
E-001,2025-10-08T11:00:00+00:00,1.444,CLUJ-B
E-001,2025-10-08T12:00:00+00:00,1.025,CLUJ-B
E-001,2025-10-08T13:00:00+00:00,0.729,CLUJ-B
E-001,2025-10-08T14:00:00+00:00,0.686,CLUJ-B
E-001,2025-10-08T15:00:00+00:00,0.996,CLUJ-B
E-001,2025-10-08T16:00:00+00:00,0.855,CLUJ-B
E-001,2025-10-08T17:00:00+00:00,1.043,CLUJ-B
E-001,2025-10-08T18:00:00+00:00,0.995,CLUJ-B
E-001,2025-10-08T19:00:00+00:00,0.885,CLUJ-B
E-001,2025-10-08T20:00:00+00:00,0.731,CLUJ-B
E-001,2025-10-08T21:00:00+00:00,0.597,CLUJ-B
E-001,2025-10-08T22:00:00+00:00,0.811,CLUJ-B
E-001,2025-10-08T23:00:00+00:00,1.071,CLUJ-B
E-001,2025-10-09T00:00:00+00:00,0.943,CLUJ-B
E-001,2025-10-09T01:00:00+00:00,0.651,CLUJ-B
E-001,2025-10-09T02:00:00+00:00,0.935,CLUJ-B
E-001,2025-10-09T03:00:00+00:00,0.977,CLUJ-B
E-001,2025-10-09T04:00:00+00:00,0.723,CLUJ-B
E-001,2025-10-09T05:00:00+00:00,0.931,CLUJ-B
E-001,2025-10-09T06:00:00+00:00,0.912,CLUJ-B
E-001,2025-10-09T07:00:00+00:00,0.671,CLUJ-B
E-001,2025-10-09T08:00:00+00:00,0.972,CLUJ-B
E-001,2025-10-09T09:00:00+00:00,1.012,CLUJ-B
E-001,2025-10-09T10:00:00+00:00,1.117,CLUJ-B
E-001,2025-10-09T11:00:00+00:00,1.111,CLUJ-B
E-001,2025-10-09T12:00:00+00:00,0.624,CLUJ-B
E-001,2025-10-09T13:00:00+00:00,0.712,CLUJ-B
E-001,2025-10-09T14:00:00+00:00,1.003,CLUJ-B
E-001,2025-10-09T15:00:00+00:00,1.003,CLUJ-B
E-001,2025-10-09T16:00:00+00:00,1.003,CLUJ-B
E-001,2025-10-09T17:00:00+00:00,1.671,CLUJ-B
E-001,2025-10-09T18:00:00+00:00,1.014,CLUJ-B
E-001,2025-10-09T19:00:00+00:00,1.127,CLUJ-B
E-001,2025-10-09T20:00:00+00:00,1.091,CLUJ-B
E-001,2025-10-09T21:00:00+00:00,1.03,CLUJ-B
E-001,2025-10-09T22:00:00+00:00,0.837,CLUJ-B
E-001,2025-10-09T23:00:00+00:00,1.052,CLUJ-B
E-001,2025-10-10T00:00:00+00:00,0.745,CLUJ-B
E-001,2025-10-10T01:00:00+00:00,0.853,CLUJ-B
E-001,2025-10-10T02:00:00+00:00,0.803,CLUJ-B
E-001,2025-10-10T03:00:00+00:00,0.916,CLUJ-B
E-001,2025-10-10T04:00:00+00:00,1.363,CLUJ-B
E-001,2025-10-10T05:00:00+00:00,0.527,CLUJ-B
E-001,2025-10-10T06:00:00+00:00,1.037,CLUJ-B
E-001,2025-10-10T07:00:00+00:00,0.577,CLUJ-B
E-001,2025-10-10T08:00:00+00:00,0.806,CLUJ-B
E-001,2025-10-10T09:00:00+00:00,1.118,CLUJ-B
E-001,2025-10-10T10:00:00+00:00,0.913,CLUJ-B
E-001,2025-10-10T11:00:00+00:00,0.684,CLUJ-B
E-001,2025-10-10T12:00:00+00:00,0.757,CLUJ-B
E-001,2025-10-10T13:00:00+00:00,1.036,CLUJ-B
E-001,2025-10-10T14:00:00+00:00,0.754,CLUJ-B
E-001,2025-10-10T15:00:00+00:00,0.943,CLUJ-B
E-001,2025-10-10T16:00:00+00:00,0.909,CLUJ-B
E-001,2025-10-10T17:00:00+00:00,0.77,CLUJ-B
E-001,2025-10-10T18:00:00+00:00,1.329,CLUJ-B
E-001,2025-10-10T19:00:00+00:00,1.027,CLUJ-B
E-001,2025-10-10T20:00:00+00:00,0.495,CLUJ-B
E-001,2025-10-10T21:00:00+00:00,0.937,CLUJ-B
E-001,2025-10-10T22:00:00+00:00,0.768,CLUJ-B
E-001,2025-10-10T23:00:00+00:00,1.07,CLUJ-B
E-001,2025-10-11T00:00:00+00:00,0.741,CLUJ-B
E-001,2025-10-11T01:00:00+00:00,0.877,CLUJ-B
E-001,2025-10-11T02:00:00+00:00,1.001,CLUJ-B
E-001,2025-10-11T03:00:00+00:00,1.073,CLUJ-B
E-001,2025-10-11T04:00:00+00:00,0.66,CLUJ-B
E-001,2025-10-11T05:00:00+00:00,0.833,CLUJ-B
E-001,2025-10-11T06:00:00+00:00,0.805,CLUJ-B
E-001,2025-10-11T07:00:00+00:00,0.769,CLUJ-B
E-001,2025-10-11T08:00:00+00:00,1.253,CLUJ-B
E-001,2025-10-11T09:00:00+00:00,0.981,CLUJ-B
E-001,2025-10-11T10:00:00+00:00,0.648,CLUJ-B
E-001,2025-10-11T11:00:00+00:00,1.084,CLUJ-B
E-001,2025-10-11T12:00:00+00:00,1.324,CLUJ-B
E-001,2025-10-11T13:00:00+00:00,1.106,CLUJ-B
E-001,2025-10-11T14:00:00+00:00,0.596,CLUJ-B
E-001,2025-10-11T15:00:00+00:00,0.803,CLUJ-B
E-001,2025-10-11T16:00:00+00:00,1.153,CLUJ-B
E-001,2025-10-11T17:00:00+00:00,0.758,CLUJ-B
E-001,2025-10-11T18:00:00+00:00,0.989,CLUJ-B
E-001,2025-10-11T19:00:00+00:00,1.055,CLUJ-B
E-001,2025-10-11T20:00:00+00:00,0.715,CLUJ-B
E-001,2025-10-11T21:00:00+00:00,0.888,CLUJ-B
E-001,2025-10-11T22:00:00+00:00,0.252,CLUJ-B
E-001,2025-10-11T23:00:00+00:00,0.695,CLUJ-B
E-001,2025-10-12T00:00:00+00:00,0.849,CLUJ-B
E-001,2025-10-12T01:00:00+00:00,0.65,CLUJ-B
E-001,2025-10-12T02:00:00+00:00,1.226,CLUJ-B
E-001,2025-10-12T03:00:00+00:00,0.614,CLUJ-B
E-001,2025-10-12T04:00:00+00:00,0.812,CLUJ-B
E-001,2025-10-12T05:00:00+00:00,0.926,CLUJ-B
E-001,2025-10-12T06:00:00+00:00,1.188,CLUJ-B
E-001,2025-10-12T07:00:00+00:00,0.613,CLUJ-B
E-001,2025-10-12T08:00:00+00:00,1.133,CLUJ-B
E-001,2025-10-12T09:00:00+00:00,0.902,CLUJ-B
E-001,2025-10-12T10:00:00+00:00,0.704,CLUJ-B
E-001,2025-10-12T11:00:00+00:00,0.992,CLUJ-B
E-001,2025-10-12T12:00:00+00:00,0.94,CLUJ-B
E-001,2025-10-12T13:00:00+00:00,0.78,CLUJ-B
E-001,2025-10-12T14:00:00+00:00,0.914,CLUJ-B
E-001,2025-10-12T15:00:00+00:00,0.823,CLUJ-B
E-001,2025-10-12T16:00:00+00:00,0.923,CLUJ-B
E-001,2025-10-12T17:00:00+00:00,1.032,CLUJ-B
E-001,2025-10-12T18:00:00+00:00,1.217,CLUJ-B
E-001,2025-10-12T19:00:00+00:00,0.652,CLUJ-B
E-001,2025-10-12T20:00:00+00:00,1.327,CLUJ-B
E-001,2025-10-12T21:00:00+00:00,0.51,CLUJ-B
E-001,2025-10-12T22:00:00+00:00,0.87,CLUJ-B
E-001,2025-10-12T23:00:00+00:00,1.018,CLUJ-B
E-001,2025-10-13T00:00:00+00:00,0.956,CLUJ-B
E-001,2025-10-13T01:00:00+00:00,0.775,CLUJ-B
E-001,2025-10-13T02:00:00+00:00,0.858,CLUJ-B
E-001,2025-10-13T03:00:00+00:00,0.801,CLUJ-B
E-001,2025-10-13T04:00:00+00:00,0.782,CLUJ-B
E-001,2025-10-13T05:00:00+00:00,1.07,CLUJ-B
E-001,2025-10-13T06:00:00+00:00,0.971,CLUJ-B
E-001,2025-10-13T07:00:00+00:00,0.761,CLUJ-B
E-001,2025-10-13T08:00:00+00:00,1.08,CLUJ-B
E-001,2025-10-13T09:00:00+00:00,0.961,CLUJ-B
E-001,2025-10-13T10:00:00+00:00,1.063,CLUJ-B
E-001,2025-10-13T11:00:00+00:00,1.026,CLUJ-B
E-001,2025-10-13T12:00:00+00:00,0.734,CLUJ-B
E-001,2025-10-13T13:00:00+00:00,0.788,CLUJ-B
E-001,2025-10-13T14:00:00+00:00,1.049,CLUJ-B
E-001,2025-10-13T15:00:00+00:00,1.022,CLUJ-B
E-001,2025-10-13T16:00:00+00:00,0.896,CLUJ-B
E-001,2025-10-13T17:00:00+00:00,0.923,CLUJ-B
E-001,2025-10-13T18:00:00+00:00,1.156,CLUJ-B
E-001,2025-10-13T19:00:00+00:00,0.782,CLUJ-B
E-001,2025-10-13T20:00:00+00:00,1.009,CLUJ-B
E-001,2025-10-13T21:00:00+00:00,0.86,CLUJ-B
E-001,2025-10-13T22:00:00+00:00,0.856,CLUJ-B
E-001,2025-10-13T23:00:00+00:00,1.12,CLUJ-B
E-001,2025-10-14T00:00:00+00:00,1.065,CLUJ-B
E-001,2025-10-14T01:00:00+00:00,1.063,CLUJ-B
E-001,2025-10-14T02:00:00+00:00,1.161,CLUJ-B
E-001,2025-10-14T03:00:00+00:00,0.904,CLUJ-B
E-001,2025-10-14T04:00:00+00:00,1.036,CLUJ-B
E-001,2025-10-14T05:00:00+00:00,0.838,CLUJ-B
E-001,2025-10-14T06:00:00+00:00,0.965,CLUJ-B
E-001,2025-10-14T07:00:00+00:00,0.874,CLUJ-B
E-001,2025-10-14T08:00:00+00:00,0.919,CLUJ-B
E-001,2025-10-14T09:00:00+00:00,1.019,CLUJ-B
E-001,2025-10-14T10:00:00+00:00,0.736,CLUJ-B
E-001,2025-10-14T11:00:00+00:00,1.318,CLUJ-B
E-001,2025-10-14T12:00:00+00:00,0.699,CLUJ-B
E-001,2025-10-14T13:00:00+00:00,0.657,CLUJ-B
E-001,2025-10-14T14:00:00+00:00,1.132,CLUJ-B
E-001,2025-10-14T15:00:00+00:00,1.058,CLUJ-B
E-001,2025-10-14T16:00:00+00:00,1.025,CLUJ-B
E-001,2025-10-14T17:00:00+00:00,1.026,CLUJ-B
E-001,2025-10-14T18:00:00+00:00,0.898,CLUJ-B
E-001,2025-10-14T19:00:00+00:00,0.721,CLUJ-B
E-001,2025-10-14T20:00:00+00:00,0.915,CLUJ-B
E-001,2025-10-14T21:00:00+00:00,0.765,CLUJ-B
E-001,2025-10-14T22:00:00+00:00,1.095,CLUJ-B
E-001,2025-10-14T23:00:00+00:00,0.871,CLUJ-B
E-001,2025-10-15T00:00:00+00:00,0.735,CLUJ-B
E-001,2025-10-15T01:00:00+00:00,0.836,CLUJ-B
E-001,2025-10-15T02:00:00+00:00,0.983,CLUJ-B
E-001,2025-10-15T03:00:00+00:00,0.787,CLUJ-B
E-001,2025-10-15T04:00:00+00:00,0.736,CLUJ-B
E-001,2025-10-15T05:00:00+00:00,0.949,CLUJ-B
E-001,2025-10-15T06:00:00+00:00,0.949,CLUJ-B
E-001,2025-10-15T07:00:00+00:00,0.799,CLUJ-B
E-001,2025-10-15T08:00:00+00:00,0.806,CLUJ-B
E-001,2025-10-15T09:00:00+00:00,0.946,CLUJ-B
E-001,2025-10-15T10:00:00+00:00,0.61,CLUJ-B
E-001,2025-10-15T11:00:00+00:00,0.619,CLUJ-B
E-001,2025-10-15T12:00:00+00:00,0.756,CLUJ-B
E-001,2025-10-15T13:00:00+00:00,0.857,CLUJ-B
E-001,2025-10-15T14:00:00+00:00,0.962,CLUJ-B
E-001,2025-10-15T15:00:00+00:00,1.195,CLUJ-B
E-001,2025-10-15T16:00:00+00:00,1.072,CLUJ-B
E-001,2025-10-15T17:00:00+00:00,0.868,CLUJ-B
E-001,2025-10-15T18:00:00+00:00,0.896,CLUJ-B
E-001,2025-10-15T19:00:00+00:00,0.699,CLUJ-B
E-001,2025-10-15T20:00:00+00:00,0.896,CLUJ-B
E-001,2025-10-15T21:00:00+00:00,0.842,CLUJ-B
E-001,2025-10-15T22:00:00+00:00,0.965,CLUJ-B
E-001,2025-10-15T23:00:00+00:00,0.735,CLUJ-B
E-001,2025-10-16T00:00:00+00:00,1.004,CLUJ-B
E-001,2025-10-16T01:00:00+00:00,1.207,CLUJ-B
E-001,2025-10-16T02:00:00+00:00,0.878,CLUJ-B
E-001,2025-10-16T03:00:00+00:00,0.98,CLUJ-B
E-001,2025-10-16T04:00:00+00:00,1.038,CLUJ-B
E-001,2025-10-16T05:00:00+00:00,0.82,CLUJ-B
E-001,2025-10-16T06:00:00+00:00,0.945,CLUJ-B
E-001,2025-10-16T07:00:00+00:00,0.903,CLUJ-B
E-001,2025-10-16T08:00:00+00:00,0.92,CLUJ-B
E-001,2025-10-16T09:00:00+00:00,0.745,CLUJ-B
E-001,2025-10-16T10:00:00+00:00,0.905,CLUJ-B
E-001,2025-10-16T11:00:00+00:00,1,CLUJ-B
E-001,2025-10-16T12:00:00+00:00,1.19,CLUJ-B
E-001,2025-10-16T13:00:00+00:00,1.092,CLUJ-B
E-001,2025-10-16T14:00:00+00:00,1.331,CLUJ-B
E-001,2025-10-16T15:00:00+00:00,0.747,CLUJ-B
E-001,2025-10-16T16:00:00+00:00,1.074,CLUJ-B
E-001,2025-10-16T17:00:00+00:00,0.937,CLUJ-B
E-001,2025-10-16T18:00:00+00:00,1.338,CLUJ-B
E-001,2025-10-16T19:00:00+00:00,0.738,CLUJ-B
E-001,2025-10-16T20:00:00+00:00,0.732,CLUJ-B
E-001,2025-10-16T21:00:00+00:00,0.78,CLUJ-B
E-001,2025-10-16T22:00:00+00:00,0.475,CLUJ-B
E-001,2025-10-16T23:00:00+00:00,0.795,CLUJ-B
E-001,2025-10-17T00:00:00+00:00,0.748,CLUJ-B
E-001,2025-10-17T01:00:00+00:00,0.93,CLUJ-B
E-001,2025-10-17T02:00:00+00:00,0.968,CLUJ-B
E-001,2025-10-17T03:00:00+00:00,1.275,CLUJ-B
E-001,2025-10-17T04:00:00+00:00,1.09,CLUJ-B
E-001,2025-10-17T05:00:00+00:00,0.785,CLUJ-B
E-001,2025-10-17T06:00:00+00:00,0.72,CLUJ-B
E-001,2025-10-17T07:00:00+00:00,0.998,CLUJ-B
E-001,2025-10-17T08:00:00+00:00,0.636,CLUJ-B
E-001,2025-10-17T09:00:00+00:00,1.266,CLUJ-B
E-001,2025-10-17T10:00:00+00:00,1.136,CLUJ-B
E-001,2025-10-17T11:00:00+00:00,0.806,CLUJ-B
E-001,2025-10-17T12:00:00+00:00,0.557,CLUJ-B
E-001,2025-10-17T13:00:00+00:00,1.171,CLUJ-B
E-001,2025-10-17T14:00:00+00:00,0.877,CLUJ-B
E-001,2025-10-17T15:00:00+00:00,1.148,CLUJ-B
E-001,2025-10-17T16:00:00+00:00,0.581,CLUJ-B
E-001,2025-10-17T17:00:00+00:00,0.78,CLUJ-B
E-001,2025-10-17T18:00:00+00:00,0.901,CLUJ-B
E-001,2025-10-17T19:00:00+00:00,0.909,CLUJ-B
E-001,2025-10-17T20:00:00+00:00,0.81,CLUJ-B
E-001,2025-10-17T21:00:00+00:00,1.025,CLUJ-B
E-001,2025-10-17T22:00:00+00:00,0.686,CLUJ-B
E-001,2025-10-17T23:00:00+00:00,0.872,CLUJ-B
E-001,2025-10-18T00:00:00+00:00,0.924,CLUJ-B
E-001,2025-10-18T01:00:00+00:00,1.003,CLUJ-B
E-001,2025-10-18T02:00:00+00:00,1.042,CLUJ-B
E-001,2025-10-18T03:00:00+00:00,0.675,CLUJ-B
E-001,2025-10-18T04:00:00+00:00,0.593,CLUJ-B
E-001,2025-10-18T05:00:00+00:00,1.156,CLUJ-B
E-001,2025-10-18T06:00:00+00:00,0.966,CLUJ-B
E-001,2025-10-18T07:00:00+00:00,0.75,CLUJ-B
E-001,2025-10-18T08:00:00+00:00,1.21,CLUJ-B
E-001,2025-10-18T09:00:00+00:00,0.923,CLUJ-B
E-001,2025-10-18T10:00:00+00:00,1.136,CLUJ-B
E-001,2025-10-18T11:00:00+00:00,0.914,CLUJ-B
E-001,2025-10-18T12:00:00+00:00,1.312,CLUJ-B
E-001,2025-10-18T13:00:00+00:00,1.251,CLUJ-B
E-001,2025-10-18T14:00:00+00:00,0.85,CLUJ-B
